fips_num	id	stateFips	geography	countyGov	StatConsolidated	GovConsolidated	LgMdSm	RGDPGrowth13	HHpriceGrowth13	jobsGrowth13	avgWageGrowth13	unemGrowth13	RGDPGrowthLT	HHpriceGrowthLT	jobsGrowthLT	avgWageGrowthLT	avgUnemLT	RGDPGrowthDR	HHpriceGrowthDR	jobsGrowthDR	avgWageGrowthDR	unemLostDR	RGDPGrowthPR	HHpriceGrowthPR	jobsGrowthPR	avgWageGrowthPR	unemGainedPR	profLink	avgUnem13	avgUnemDR	avgUnemPR	unemChangeLT
1001	1001	1	Autauga County (AL)	1	0	0	1	0.0004166	0.10659028	0.02265454	0.01656219	-0.0073031	0.04570042	0.05238439	0.02285418	0.03218885	0.04201751	-0.00878697	-0.03896588	-0.01383191		0.0290899	0.01385494	0.0286946	0.02265454	0.02186459	-0.00732615	profiles/AutaugaCountyAL.pdf	0.057214	0.0657678	0.0690874	-0.0001462
1003	1003	1	Baldwin County (AL)	1	0	0	1	0.02287909	0.1010422	0.009294	0.0298813	-0.0040357	0.06620641	0.05219211	0.04557658	0.04370589	0.0397694	-0.01005881	-0.02387477	-0.02270372		0.02020067	0.02244254	0.07263909	0.01525591	0.01374593	-0.00783823	profiles/BaldwinCountyAL.pdf	0.0636225	0.0715196	0.0703577	0.0006463
1005	1005	1	Barbour County (AL)	1	0	0	0	-0.05849514	0.07800812	-0.01460568	0.02988109	-0.0066683	0.0356098	0.0443367	0.01136924	0.03225947	0.06607223	-0.02365074	-0.02561118	-0.02452429		0.02633097		0.0637281		0.03706405	-0.0057175	profiles/BarbourCountyAL.pdf	0.1051234	0.0865144	0.1103498	0.0013873
1007	1007	1	Bibb County (AL)	1	0	0	0	0.01492189	0.11057917	0.00010596	0.03057163	-0.0066261	0.02008446	0.05176657	0.00315751	0.0440174	0.06474379	-0.02657442	-0.03016942	-0.01353974		0.04183155	0.02041934	0.0908039	0.01037576	0.03680291	-0.01222638	profiles/BibbCountyAL.pdf	0.0698206	0.084867	0.0857105	-0.0006751
1009	1009	1	Blount County (AL)	1	0	0	1	-0.01011348	0.10141087	0.0061258	0.03057311	-0.0053893	0.03430928	0.051186	0.01081337	0.04407471	0.0377602	-0.025918	-0.03098217	-0.0299721	-0.00699413	0.0308565	0.00706614	0.08879429	0.00665623	0.01957772	-0.00806087	profiles/BlountCountyAL.pdf	0.0567878	0.0649568	0.0715907	-0.0000972
1011	1011	1	Bullock County (AL)	1	0	0	0	-0.03863188	0.05919734	-0.01898088	0.02987992	-0.0079864	0.03444534	0.04504394	0.0072176	0.03986717	0.11008432	-0.03291935	-0.01395909	-0.0159292	-0.02992174	0.01340876	0.00028975	0.05579245		0.01920952	-0.0091699	profiles/BullockCountyAL.pdf	0.1259036	0.1206244	0.1298968	0.0003954
1013	1013	1	Butler County (AL)	1	0	0	0	0.00223943	0.07651018	-0.01654962	0.02988015	-0.0064694	0.03395981	0.04896503	0.00311641	0.03655761	0.08627216	-0.04498262	-0.03407846	-0.03706862		0.03248143	0.02531428	0.0599748	0.00810091	0.02789107	-0.01118045	profiles/ButlerCountyAL.pdf	0.1019884	0.0916542	0.1109706	-0.0008003
1015	1015	1	Calhoun County (AL)	1	0	0	1	-0.0012908	0.10310623	-0.00257088	0.00427492	-0.0027675	0.02232401	0.0389257	0.00178602	0.03523562	0.05475333	-0.01738322	-0.02323765	-0.01808197		0.0327307		0.0643325		0.0042133	-0.00654025	profiles/CalhounCountyAL.pdf	0.0729675	0.0744723	0.0828828	0.0002707
1017	1017	1	Chambers County (AL)	1	0	0	0	-0.07454606	0.07795407	-0.01666696	0.02988083	-0.0055328	0.0164261	0.04115465	-0.01325106	0.0334121	0.05886453	-0.08935457	-0.03931889	-0.06418938		0.03189185	0.02684475	0.06022765	0.01832893	0.0172738	-0.02233052	profiles/ChambersCountyAL.pdf	0.0872244	0.1027127	0.1059021	0.0008674
1019	1019	1	Cherokee County (AL)	1	0	0	0	0.02531627	0.09656439	-0.00391297	0.02988156	-0.0042372	0.02997695	0.04759371	0.00576731	0.04670446	0.04896979	-0.03736513	-0.03227342	-0.01800261	-0.02283574	0.03417495	0.01700726	0.0656441	0.00075791	0.01762246	-0.0093424	profiles/CherokeeCountyAL.pdf	0.0667975	0.0772639	0.0783052	-0.0011033
